addr_key,lat,lon,city,street,house_number
тернопіль|вул.новий світ|2,49.5309489,26.1443495,Тернопіль,вул.Новий Світ,2
тернопіль|вул.новий світ|2,49.5309489,26.1443495,Тернопіль,вул.Новий Світ,2
тернопіль|вул.новий світ|2,49.5309489,26.1443495,Тернопіль,вул.Новий Світ,2
тернопіль|вул.новий світ|2,49.5309489,26.1443495,Тернопіль,вул.Новий Світ,2
тернопіль|вул.тролейбусна|14,49.5402138,25.548914,Тернопіль,вул.Тролейбусна,14
тернопіль|вул.карпенка|1,49.5414438,25.5758991,Тернопіль,вул.Карпенка,1
тернопіль|вул.карпенка|1,49.5414438,25.5758991,Тернопіль,вул.Карпенка,1
тернопіль|вул.карпенка|1,49.5414438,25.5758991,Тернопіль,вул.Карпенка,1
тернопіль|вул.карпенка|1,49.5414438,25.5758991,Тернопіль,вул.Карпенка,1
